At what type of location do you live? ,Are you a 10MS Paid User or not?,Are you the student / the parent?,Gender,Location (District),Location (Division),Which grade is the student in?,What is the highest level of education of the students' parents?,At what type of school does the student pursue full-time education?,How does the student (or their family) fund the student's education? ,What was the student's marks in their most recent academic year?,Does the student have his/her own mobile phone or uses a shared mobile phone?,"On a scale of 1-5 with 1 being Strongly Disagree to 5 Strongly Agree, has the student has seen an improvement in their learning since they started using 10MS.",How likely is the student to recommend 10MS to a friend? (10 (very likely) to 1 (very unlikely)),"What is the monthly  income of the student's household? (Please ask your parent, in case you are a student)","What is the amount of monthly school fees paid for the student? (in BDT)

(raw data)","What is the amount of monthly school fees paid for the student? (in BDT)

(cleaned data)","What is the cost of after-school tuition class for the student, per subject per month?

(raw data)","What is the cost of after-school tuition class for the student, per subject per month?

(cleaned data)",Why did you choose to use 10MS? (Can select more than one),,,,,,"If any, which of the following improvements has the student witnessed due to using 10MS? (can choose multiple ones)",,,,,,What would you like to see at 10MS in future?,,,,,
Village/Sub-district,No,Student ,Male,Rajshahi,Rajshahi,Grade 09,Upto Grade 10,Private school,Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,5,10,"< BDT 12,000",৩০০০ টাকা,"3,000",১০০০ টাকা,"1,000",Content quality,Quality of teachers,"Convenience, no need to travel",Online community of learners,Cheaper cost of access,Others,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Village/Sub-district,Yes,Student ,Female,Shariatpur,Dhaka,Grade 12,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,60 to 70,Own mobile phone,5,10,"BDT 12,000 - 16,000","3,000","3,000",10 minute school er Course kori tai coaching fee lagna baki nijer khoroch thake. ,0,Quality of teachers,Cheaper cost of access,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,Lower cost,,
Village/Sub-district,Yes,Student ,Male,Rajshahi,Rajshahi,Grade 11,Up to Masters,"Public school, government run",Other,70 to 80,Shared mobile phone within the family,4,10,"BDT 16,000 - 24,000","3,000","3,000",0,0,Quality of teachers,"Convenience, no need to travel",Cheaper cost of access,,,,The student feels more motivated in their studies.,,,,,,More Subjects,More classes for low connectivity locations (lower data usage),Lower cost,,,
Divisional City/City Corporation,Yes,Student ,Male,Dhaka,Dhaka,Grade 11,Upto Grade 10,Private school,Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,4,8,"> BDT 45,000","3,000","3,000",0,0,Quality of teachers,Cheaper cost of access,,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,More options for student tutoring/support,,,,
Village/Sub-district,Yes,Student ,Male,Bogura,Rajshahi,Grade 10,Up to Masters,Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,5,5,"BDT 16,000 - 24,000","3,000","3,000",530,530,Content quality,Quality of teachers,"Convenience, no need to travel",Cheaper cost of access,Others,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,Lower cost,,,,,
Divisional City/City Corporation,No,Student ,Female,Cumilla,Chittagong,Grade 10,Up to Masters,Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,3,9,"BDT 24,000 - 45,000",Almost 3k per month,"3,000",আপাতত সব কোচিং /টিউশন অফ,0,Travel restriction to in-person centers,,,,,,The student feels more effective/efficient in their studies.,,,,,,More options for student tutoring/support,,,,,
Village/Sub-district,Yes,Student ,Female,Bhola,Barisal,Grade 11,Upto Grade 10,Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,3,10,"< BDT 12,000",৩০০০+,"3,000","Physics (1st-2nd)-1000, chemistry (1st-2nd)-1000,,Higher math(1st-2nd)-2000 biology(1st-২nd)-2000","6,000",Quality of teachers,,,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,More classes for low connectivity locations (lower data usage),Lower cost,,,
Village/Sub-district,Yes,Student ,Male,Nilfamari,Rangpur,Grade 11,Upto Grade 10,Private school,Self-pay/Sourced from Family,60 to 70,Shared mobile phone within the family,5,10,"< BDT 12,000","3,000","3,000","1,500","1,500",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Cheaper cost of access,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Village/Sub-district,Yes,Student ,Male,Cumilla,Chittagong,Grade 11,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,Below 60,Own mobile phone,5,1,"< BDT 12,000","3,000","3,000","2,000","2,000",Quality of teachers,Safety or health related reasons,Cheaper cost of access,,,,The student feels more motivated in their studies.,,,,,,More Subjects,,,,,
Village/Sub-district,Yes,Student ,Male,Kurigram,Rangpur,Grade 11,Up to University (Bachelor's),"Public school, government run",Self-pay/Sourced from Family,70 to 80,Shared mobile phone within the family,5,9,"< BDT 12,000","আসসালামু আলাইকুম আমার পিছনে খরচ হয় 3000 টাকা, আমার বড় বোনের খরচ হয় পনেরশো টাকা, আমার ছোট ভাই এর পিছনে বারোশো টাকা আমাদের পড়াশোনা বাবদ খরচ....","3,000","উচ্চতর গণিতের জন্য 1000 থেকে 1500 টাকার মধ্যে ,রসায়ন এবং পদার্থ একত্রে 1000 টাকাথেকে 1500 টাকার ম ,পড়াশোনার জন্য ইন্টারনেট ব্যয় হয় 500 টাকার ..........","5,000",Content quality,Quality of teachers,"Convenience, no need to travel",Cheaper cost of access,Others,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,,,More Subjects,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,,
District City,Yes,Student ,Male,Chandpur,Chittagong,Grade 11,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Do not own or share a mobile,4,9,"> BDT 45,000","3,000","3,000","2,500","2,500",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Cheaper cost of access,Others,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,,,,More Subjects,More options for student tutoring/support,More classes for low connectivity locations (lower data usage),Lower cost,,
Village/Sub-district,Yes,Student ,Female,Gaibandha,Rangpur,Grade 11,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,5,10,"BDT 12,000 - 16,000",3 thousand ,"3,000",Ten minutes school crash courses kori ,0,Quality of teachers,Cheaper cost of access,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,,,
Divisional City/City Corporation,No,Student ,Female,Dhaka,Dhaka,Grade 10,Up to Masters,Private school,Self-pay/Sourced from Family,70 to 80,Shared mobile phone within the family,3,6,"BDT 24,000 - 45,000","3,000","3,000","3,000","3,000","Convenience, no need to travel",,,,,,The student feels more effective/efficient in their studies.,,,,,,Strengthen on-line student community,,,,,
Village/Sub-district,Yes,Student ,Male,Moulvibazar,Sylhet,Grade 11,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,4,10,"< BDT 12,000",3000৳,"3,000","Highermath -800৳,Chemistry - 700৳","1,500","Convenience, no need to travel",,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,More options for student tutoring/support,Lower cost,,,
Divisional City/City Corporation,Yes,Student ,Female,Dhaka,Dhaka,Grade 11,Up to Masters,Private school,Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,5,9,"BDT 24,000 - 45,000","3,000","3,000","6,500","6,500",Content quality,,,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,More options for student tutoring/support,,,,
Village/Sub-district,Yes,Student ,Male,Feni,Chittagong,Grade 11,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,60 to 70,Own mobile phone,4,9,"< BDT 12,000","3,000","3,000",10MS er HSC23 crash course koteci.Grame thakar karone & financial shomosshar karone private/couching kora hoccena akhon porjonto.,0,Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Online community of learners,Cheaper cost of access,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
District City,Yes,Student ,Female,Dinajpur,Rangpur,Grade 12,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,60 to 70,Own mobile phone,4,6,"< BDT 12,000",3000 taka,"3,000",3000 taka,"3,000",Content quality,Travel restriction to in-person centers,Cheaper cost of access,,,,The student feels more effective/efficient in their studies.,,,,,,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,,,
Divisional City/City Corporation,No,Student ,Female,Jessore,Khulna,Grade 12,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,70 to 80,Own mobile phone,4,10,"BDT 24,000 - 45,000","3,000","3,000",Math 1000 physics 1000 biology 1000 chemiatry 1000,"4,000",Quality of teachers,,,,,,The student feels more effective/efficient in their studies.,,,,,,Lower cost,,,,,
Village/Sub-district,Yes,Student ,Male,Cumilla,Chittagong,Grade 12,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,60 to 70,Own mobile phone,3,5,"< BDT 12,000","3,000","3,000","4,000","4,000",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Safety or health related reasons,,The student feels more motivated in their studies.,,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Village/Sub-district,No,Student ,Male,Cumilla,Chittagong,Grade 12,Upto Grade 10,Private school,Self-pay/Sourced from Family,70 to 80,Own mobile phone,3,6,"BDT 12,000 - 16,000","3,000","3,000","1,000","1,000","Convenience, no need to travel",,,,,,No improvement was seen,,,,,,More options for student tutoring/support,Lower cost,,,,
Divisional City/City Corporation,No,Student ,Female,Bandarban,Chittagong,Grade 12,Up to University (Bachelor's),Private school,Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,3,5,"BDT 16,000 - 24,000","3,000","3,000",0,0,Cheaper cost of access,,,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,,,,,
Divisional City/City Corporation,Yes,Student ,Female,Thakurgaon,Rangpur,Grade 12,Up to University (Bachelor's),Private school,Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,5,9,"> BDT 45,000","3,000","3,000","8,000","8,000",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Safety or health related reasons,Online community of learners,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
District City,Yes,Student ,Male,Rajbari,Dhaka,Grade 10,Up to Masters,"Public school, government run",Loan,80 to 100 ,Shared mobile phone within the family,4,8,"< BDT 12,000","3,000","3,000","2,000","2,000","Convenience, no need to travel",Online community of learners,,,,,The student feels more effective/efficient in their studies.,,,,,,More classes for low connectivity locations (lower data usage),,,,,
Village/Sub-district,Yes,Student ,Male,Jessore,Khulna,Grade 11,Up to University (Bachelor's),Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,4,7,"> BDT 45,000","3,000","3,000","Science -10,000","10,000",Content quality,Quality of teachers,"Convenience, no need to travel",Others,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Village/Sub-district,Yes,Student ,Male,Chandpur,Chittagong,Grade 11,Upto Grade 10,Private school,Other,80 to 100 ,Shared mobile phone within the family,5,10,"< BDT 12,000","3,000","3,000","প্রাইভেট =০, কলেজ =২০০০০",0,Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Cheaper cost of access,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,,,,More Subjects,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,,
District City,Yes,Student ,Male,Rangpur,Rangpur,Grade 11,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,3,10,"< BDT 12,000","3,000","3,000","1,500","1,500",Cheaper cost of access,,,,,,The student feels more motivated in their studies.,,,,,,Lower cost,,,,,
Village/Sub-district,No,Student ,Male,Rajshahi,Rajshahi,Grade 11,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,3,8,"< BDT 12,000","3,000","3,000",700,700,Content quality,Quality of teachers,Online community of learners,Cheaper cost of access,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Divisional City/City Corporation,No,Student ,Male,Dhaka,Dhaka,Grade 10,Upto Grade 10,Private school,Self-pay/Sourced from Family,60 to 70,Own mobile phone,4,8,"BDT 16,000 - 24,000","3,000","3,000",Accounting Coaching= 1000  Math Coaching = 1000 English = 1000 total coaching fee 3000,"3,000",Content quality,Quality of teachers,Cheaper cost of access,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More options for student tutoring/support,More classes for low connectivity locations (lower data usage),Lower cost,,,
Divisional City/City Corporation,Yes,Student ,Male,Rangpur,Rangpur,Grade 11,Up to Grade 12,Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,2,2,"BDT 24,000 - 45,000","3,000","3,000","10,000","10,000","Convenience, no need to travel",Cheaper cost of access,,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Village/Sub-district,No,Student ,Female,Dhaka,Dhaka,Grade 08,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,70 to 80,Shared mobile phone within the family,4,10,"> BDT 45,000","3,000","3,000","4,000","4,000",Quality of teachers,,,,,,The student feels more motivated in their studies.,,,,,,More options for student tutoring/support,,,,,
Divisional City/City Corporation,No,Student ,Male,Sylhet,Sylhet,Grade 09,Up to University (Bachelor's),Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,4,7,"BDT 24,000 - 45,000","3,000","3,000","1,000","1,000",Content quality,Quality of teachers,"Convenience, no need to travel",,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,More options for student tutoring/support,Lower cost,,,
Divisional City/City Corporation,Yes,Student ,Male,Chittagong,Chittagong,Grade 07,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,70 to 80,Own mobile phone,3,7,"BDT 24,000 - 45,000","3,000","3,000","37,000","37,000",Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Cheaper cost of access,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,Lower cost,,
Village/Sub-district,Yes,Student ,Male,Gaibandha,Rangpur,Grade 12,Up to University (Bachelor's),"Public school, government run",Self-pay/Sourced from Family,70 to 80,Own mobile phone,3,9,"< BDT 12,000","3,000","3,000",3000-4000,"3,500",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Safety or health related reasons,Cheaper cost of access,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Divisional City/City Corporation,Yes,Student ,Female,Chittagong,Chittagong,Grade 11,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,5,10,"< BDT 12,000","3,000","3,000",সব মিলে ১৫০০০ হাজার ,"15,000",Quality of teachers,Travel restriction to in-person centers,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,,,,More Subjects,Strengthen on-line student community,Lower cost,,,
District City,Yes,Student ,Male,Barisal,Barisal,Grade 11,Up to Grade 12,"Public school, government run",Other,80 to 100 ,Own mobile phone,5,10,"BDT 12,000 - 16,000","3,000","3,000","5,000","5,000",Content quality,Quality of teachers,"Convenience, no need to travel",Online community of learners,Cheaper cost of access,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,,
Village/Sub-district,Yes,Student ,Male,Shariatpur,Dhaka,Grade 09,Up to University (Bachelor's),"Public school, government run",Self-pay/Sourced from Family,70 to 80,Shared mobile phone within the family,3,10,"> BDT 45,000","3,000","3,000","8,000","8,000",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Online community of learners,Others,The student feels more motivated in their studies.,,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
District City,Yes,Student ,Male,Bogura,Rajshahi,Grade 11,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,4,10,"BDT 12,000 - 16,000","3,000","3,000","4,000","4,000",Content quality,,,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,,,,,
Divisional City/City Corporation,Yes,Student ,Female,Dhaka,Dhaka,Grade 11,Upto Grade 10,Private school,Self-pay/Sourced from Family,Below 60,Shared mobile phone within the family,4,9,"BDT 16,000 - 24,000",3000 এর মতো।,"3,000",কোচিং করি না । শুধু 10 minute School থেকে কেনা কোর্স এর মাধ্যমে পড়াশোনা করছি।,0,Cheaper cost of access,,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More classes for low connectivity locations (lower data usage),Lower cost,,,,
District City,Yes,Student ,Female,Lakshmipur,Chittagong,Grade 12,Up to University (Bachelor's),"Public school, government run",Self-pay/Sourced from Family,60 to 70,Own mobile phone,3,5,"BDT 24,000 - 45,000","3,000","3,000","3,000","3,000",Content quality,Quality of teachers,,,,,The student feels more effective/efficient in their studies.,,,,,,More options for student tutoring/support,Lower cost,,,,
Village/Sub-district,Yes,Student ,Male,Dhaka,Dhaka,Grade 12,Up to Grade 12,Private school,Self-pay/Sourced from Family,60 to 70,Own mobile phone,4,8,"> BDT 45,000","3,000","3,000",800,800,Others,,,,,,The student feels more effective/efficient in their studies.,,,,,,More options for student tutoring/support,,,,,
District City,Yes,Student ,Male,Khagrachari,Chittagong,Grade 08,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,70 to 80,Shared mobile phone within the family,4,5,"> BDT 45,000",3000tk,"3,000","Math=1000, English=1000","2,000",Online community of learners,,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Divisional City/City Corporation,Yes,Student ,Male,Dhaka,Dhaka,Grade 11,Up to University (Bachelor's),Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,4,9,"BDT 16,000 - 24,000","3,000","3,000","12,000","12,000",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Safety or health related reasons,Online community of learners,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Village/Sub-district,No,Student ,Male,Gaibandha,Rangpur,Grade 12,Upto Grade 10,"Public school, government run",Grant (financial aid from school or govenrment),70 to 80,Shared mobile phone outside of the family,4,8,"< BDT 12,000","3,000","3,000","4,000","4,000",Cheaper cost of access,,,,,,The student feels more motivated in their studies.,The student has seen an increase in their grades.,,,,,More Subjects,More options for student tutoring/support,More classes for low connectivity locations (lower data usage),Lower cost,,
Divisional City/City Corporation,Yes,Student ,Male,Rajshahi,Rajshahi,Grade 12,Upto Grade 10,"Public school, government run",Loan,80 to 100 ,Own mobile phone,3,8,"BDT 16,000 - 24,000","3,000","3,000",Physics:2000 Chemistry:2000 HM:2000 Biology:2000,"8,000",Quality of teachers,Cheaper cost of access,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More classes for low connectivity locations (lower data usage),Lower cost,,,,
District City,No,Student ,Male,Feni,Chittagong,Grade 12,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,60 to 70,Own mobile phone,4,6,"BDT 24,000 - 45,000","3,000","3,000","1,500","1,500",Content quality,Quality of teachers,Cheaper cost of access,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,More options for student tutoring/support,Lower cost,,,
Divisional City/City Corporation,Yes,Student ,Male,Chittagong,Chittagong,Grade 11,Up to University (Bachelor's),"Public school, government run",Self-pay/Sourced from Family,70 to 80,Own mobile phone,4,10,"BDT 24,000 - 45,000","3,000","3,000","2,000","2,000",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Safety or health related reasons,Online community of learners,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Divisional City/City Corporation,Yes,Student ,Male,Cumilla,Chittagong,Grade 10,PhD,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,2,4,"> BDT 45,000",2000-4000,"3,000","8,000","8,000","Convenience, no need to travel",Cheaper cost of access,Others,,,,The student feels more effective/efficient in their studies.,,,,,,More options for student tutoring/support,Strengthen on-line student community,,,,
Village/Sub-district,Yes,Student ,Female,Rajshahi,Rajshahi,Grade 12,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,70 to 80,Shared mobile phone within the family,5,10,"< BDT 12,000","3,000","3,000","2,000","2,000","Convenience, no need to travel",Cheaper cost of access,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,Strengthen on-line student community,Lower cost,,,,
Divisional City/City Corporation,Yes,Student ,Female,Dhaka,Dhaka,Grade 12,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,Below 60,Own mobile phone,5,10,"BDT 16,000 - 24,000","3,000","3,000",Kono fix amount nei,0,Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Cheaper cost of access,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,Lower cost,,,,,
Village/Sub-district,Yes,Student ,Female,Sylhet,Sylhet,Grade 12,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,60 to 70,Shared mobile phone within the family,3,5,"< BDT 12,000","3,000","3,000",900,900,Quality of teachers,,,,,,The student feels more motivated in their studies.,,,,,,Lower cost,,,,,
Divisional City/City Corporation,Yes,Student ,Do not want to disclose,Chittagong,Chittagong,Grade 12,Up to Grade 12,"Public school, government run",Other,60 to 70,Shared mobile phone within the family,4,10,"BDT 12,000 - 16,000","3,000","3,000",আমি ইউটিউব থেকে ফ্রি কন্টেন্ট দেখি আর একটি স্বনামধন্য অনলাইন প্লার্টফর্মে শেষ মুহূর্তের প্রস্তুতিতে যুক্ত আছি।,0,Content quality,Quality of teachers,Online community of learners,Cheaper cost of access,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,,,,More Subjects,More options for student tutoring/support,Lower cost,,,
Village/Sub-district,Yes,Student ,Male,Satkhira,Khulna,Grade 11,Up to Grade 12,Private school,Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,5,10,"< BDT 12,000","3,000","3,000","6,000","6,000",Quality of teachers,Cheaper cost of access,Others,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,More options for student tutoring/support,More classes for low connectivity locations (lower data usage),Lower cost,,
Divisional City/City Corporation,Yes,Student ,Male,Dhaka,Dhaka,Grade 11,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,5,10,"BDT 24,000 - 45,000","3,000","3,000","6,000","6,000",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Cheaper cost of access,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,More options for student tutoring/support,Lower cost,,,
District City,Yes,Student ,Male,Bhola,Barisal,Grade 11,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,Below 60,Own mobile phone,1,9,"< BDT 12,000","3,000","3,000","3,000","3,000",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Safety or health related reasons,Online community of learners,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,The student has gained access to employability opportunities.,No improvement was seen,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Village/Sub-district,No,Student ,Male,Bhola,Barisal,Grade 12,Upto Grade 10,Private school,Other,Below 60,Own mobile phone,3,10,"BDT 24,000 - 45,000","3,000","3,000",হিসাব বিজ্ঞান=১০০০,"1,000",Content quality,Quality of teachers,Others,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,More options for student tutoring/support,Lower cost,,,
Village/Sub-district,Yes,Student ,Male,Habiganj,Sylhet,Grade 11,Upto Grade 10,Private school,Self-pay/Sourced from Family,70 to 80,Own mobile phone,5,10,"< BDT 12,000","3,000","3,000","1,500","1,500",Cheaper cost of access,,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,,,More Subjects,Lower cost,,,,
Divisional City/City Corporation,No,Student ,Female,Cumilla,Chittagong,Grade 11,Upto Grade 10,Private school,Other,80 to 100 ,Shared mobile phone within the family,5,10,"BDT 12,000 - 16,000","3,000","3,000",Coaching kori nah ...basay nije nije pori,0,Quality of teachers,,,,,,The student feels more effective/efficient in their studies.,,,,,,More classes for low connectivity locations (lower data usage),Lower cost,,,,
Village/Sub-district,Yes,Student ,Female,Satkhira,Khulna,Grade 11,Up to University (Bachelor's),"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,4,9,"BDT 24,000 - 45,000","3,000","3,000","2,000","2,000",Quality of teachers,Online community of learners,Cheaper cost of access,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,More classes for low connectivity locations (lower data usage),Lower cost,,,,
District City,Yes,Student ,Male,Dinajpur,Rangpur,Grade 11,Up to University (Bachelor's),Private school,Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,3,7,"BDT 16,000 - 24,000","3,000","3,000","4,000","4,000",Quality of teachers,,,,,,The student feels more effective/efficient in their studies.,,,,,,More options for student tutoring/support,Lower cost,,,,
Village/Sub-district,Yes,Student ,Do not want to disclose,Dinajpur,Rangpur,Grade 11,PhD,Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,3,7,"> BDT 45,000","3,000","3,000","1,500","1,500",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Safety or health related reasons,Online community of learners,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
